,SERIALNO,RELATE,OC,RC,SEX,SSPA,AGE,QTRBIR,HISPAN,RACEDET,GQTYP
43882,0019597,01,0,0,1,0,46,1,01,02,0
43883,0019599,01,0,0,1,0,68,3,01,02,0
43884,0019599,02,0,0,2,0,67,1,01,02,0
43885,0019599,07,0,0,2,0,93,0,01,02,0
43886,0019600,01,0,0,1,0,45,1,01,02,0
43887,0019600,02,0,0,2,0,46,3,01,02,0
43888,0019600,03,1,1,2,0,6,2,01,02,0
43889,0019600,07,0,0,2,0,68,3,01,02,0
43890,0019600,15,0,0,2,0,69,1,01,02,0
43891,0019601,01,0,0,1,0,54,0,01,01,0
43892,0019601,02,0,0,2,0,57,0,01,01,0
43893,0019602,01,0,0,2,0,40,3,01,01,0
43894,0019602,02,0,0,1,0,42,0,01,01,0
43895,0019602,03,1,1,1,0,10,3,01,01,0
43896,0019602,03,1,1,1,0,8,0,01,01,0
43897,0019602,03,1,1,2,0,5,1,01,01,0
43898,0019603,01,0,0,1,0,29,2,01,02,0
43899,0019604,01,0,0,1,0,52,1,01,01,0
43900,0019604,02,0,0,2,0,52,2,01,01,0
43901,0019605,01,0,0,1,0,41,0,01,01,0
43902,0019605,02,0,0,2,0,38,3,01,01,0
43903,0019605,03,1,1,2,0,17,0,01,01,0
43904,0019605,03,1,1,1,0,9,1,01,01,0
43905,0019605,03,1,1,1,0,3,1,01,01,0
43906,0019606,01,0,0,2,0,40,0,03,74,0
43907,0019606,02,0,0,1,0,39,0,02,73,0
43908,0019606,03,0,0,1,0,19,2,03,73,0
43909,0019606,03,1,1,2,0,16,3,03,73,0
43910,0019606,03,1,1,1,0,13,0,03,73,0
43911,0019606,03,1,1,1,0,11,0,03,73,0
43912,0019607,01,0,0,1,0,59,2,01,01,0
43913,0019607,02,0,0,2,0,54,0,01,01,0
43914,0019607,06,0,0,2,0,54,0,01,01,0
43915,0019608,01,0,0,1,0,76,2,01,01,0
43916,0019608,02,0,0,2,0,56,1,01,01,0
43917,0019608,03,0,0,2,0,32,1,01,01,0
43918,0019609,01,0,0,1,0,56,2,01,01,0
43919,0019609,02,0,0,2,0,54,0,01,01,0
43920,0019609,03,0,0,1,0,27,3,01,01,0
43921,0019609,03,0,0,1,0,22,0,01,01,0
43922,0019609,03,0,0,1,0,19,1,01,01,0
43923,0019610,01,0,0,1,0,40,3,01,01,0
43924,0019610,02,0,0,2,0,42,0,01,01,0
43925,0019610,03,1,1,2,0,10,1,01,01,0
43926,0019610,03,1,1,1,0,7,3,01,01,0
43927,0019611,01,0,0,2,0,30,0,01,02,0
43928,0019611,02,0,0,1,0,31,2,01,02,0
43929,0019611,11,0,0,2,0,25,3,01,02,0
43930,0019611,11,0,1,2,0,13,0,01,02,0
43931,0019612,01,0,0,1,0,55,2,01,01,0
43932,0019612,02,0,0,2,0,51,0,01,01,0
43933,0019613,01,0,0,2,0,58,1,01,02,0
43934,0019614,01,0,0,1,0,52,0,01,02,0
43935,0019614,08,0,1,2,0,13,0,01,74,0
43936,0019614,12,0,0,2,0,43,0,01,01,0
43937,0019615,01,0,0,2,0,55,3,01,01,0
43938,0019615,03,0,0,1,0,21,0,01,01,0
43939,0019615,03,1,1,1,0,17,1,01,01,0
43940,0019616,16,0,0,1,0,25,0,01,02,1
43941,0019617,01,0,0,1,0,53,2,01,01,0
43942,0019617,02,0,0,2,0,52,1,01,01,0
43943,0019617,03,0,0,2,0,21,1,01,01,0
43944,0019617,03,0,0,2,0,18,2,01,01,0
43945,0019617,08,0,1,2,0,0,0,01,01,0
43946,0019619,16,0,0,1,0,33,3,01,02,1
43947,0019620,01,0,0,1,0,43,2,02,73,0
43948,0019620,03,1,1,2,0,15,3,02,73,0
43949,0019620,03,1,1,1,0,14,0,02,73,0
43950,0019620,03,1,1,1,0,11,3,02,73,0
43951,0019620,12,0,0,1,0,30,0,25,73,0
43952,0019620,13,0,0,1,0,47,2,02,73,0
43953,0019620,15,0,0,1,0,23,2,02,73,0
43954,0019620,15,0,0,1,0,7,2,02,73,0
43955,0019621,01,0,0,1,0,71,2,01,01,0
43956,0019622,01,0,0,1,0,39,1,01,01,0
43957,0019622,14,0,0,2,0,22,3,01,01,0
43958,0019623,01,0,0,1,0,34,0,01,01,0
43959,0019623,02,0,0,2,0,33,0,01,01,0
43960,0019623,03,1,1,2,0,12,3,01,01,0
43961,0019623,03,1,1,2,0,9,3,01,01,0
43962,0019624,01,0,0,1,0,62,3,01,01,0
43963,0019625,01,0,0,2,0,69,2,01,01,0
43964,0019626,01,0,0,1,0,52,2,01,02,0
43965,0019626,02,0,0,2,0,51,3,01,02,0
43966,0019626,03,0,0,2,0,22,0,01,02,0
43967,0019626,03,1,1,1,0,14,3,01,02,0
43968,0019626,05,0,0,1,0,30,1,01,02,0
43969,0019626,08,0,1,1,0,2,2,01,02,0
43970,0019627,01,0,0,1,0,45,1,01,01,0
43971,0019627,02,0,0,2,0,44,0,01,01,0
43972,0019627,03,1,1,1,0,8,3,01,01,0
43973,0019628,01,0,0,1,0,56,3,01,01,0
43974,0019628,02,0,0,2,0,50,2,01,01,0
43975,0019628,03,1,1,1,0,16,2,01,01,0
43976,0019628,03,1,1,1,0,16,2,01,01,0
43977,0019629,01,0,0,1,0,69,3,01,01,0
43978,0019629,02,0,0,2,0,64,1,01,01,0
43979,0019630,01,0,0,2,0,47,0,01,02,0
43980,0019630,02,0,0,1,0,49,3,01,02,0
43981,0019631,01,0,0,1,0,49,2,01,01,0
43982,0019631,02,0,0,2,0,53,3,01,01,0
43983,0019631,03,1,1,1,0,16,1,01,01,0
43984,0019632,01,0,0,2,0,36,2,01,02,0
43985,0019632,03,1,1,2,0,15,2,01,74,0
43986,0019632,03,1,1,1,0,13,1,01,74,0
43987,0019632,03,1,1,1,0,12,2,01,74,0
